Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Table 1,Counts of businesses – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,557685,2020,1 and 3
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1000,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,79600,2012,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,6800,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1814100,2012,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,180,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4650,2012,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,70,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,36000,2012,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,8100,2012,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,1934300,2012,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1050,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,80700,2013,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,6500,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1827400,2013,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,160,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4500,2013,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,85,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,35900,2013,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,7800,2013,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,1948500,2013,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1150,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,84500,2014,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,6000,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1874600,2014,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,160,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4900,2014,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,1050,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,39200,2014,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,8400,2014,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2003200,2014,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1150,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85000,2015,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,8200,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1925100,2015,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,220,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4700,2015,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,840,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,39100,2015,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,10400,2015,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2054000,2015,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1200,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85400,2016,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,8700,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,1975000,2016,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,230,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,4850,2016,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,1150,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,40500,2016,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,11200,2016,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2105600,2016,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1250,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,84000,2017,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,9200,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2038800,2017,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,260,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5200,2017,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,910,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,38400,2017,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,11700,2017,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2166500,2017,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1300,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,85500,2018,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,9400,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2107700,2018,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,240,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5000,2018,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,1100,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,40800,2018,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,12000,2018,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2239000,2018,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1500,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,86600,2019,1
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,9600,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2156400,2019,1
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,260,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5300,2019,1
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,1350,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,42800,2019,1
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,12700,2019,1 and 2
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2291100,2019,1
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,Maori authorities,Counts,1750,2020,1 and 2 and 3
Table 2,Count of employees – Maori authorities,By industry group,Agriculture,All New Zealand Businesses,Counts,83300,2020,1 and 3
Table 2,Count of employees – Maori authorities,By industry group,All other industry,Maori authorities,Counts,9700,2020,1 and 2 and 3
Table 2,Count of employees – Maori authorities,By industry group,All other industry,All New Zealand Businesses,Counts,2186700,2020,1 and 3
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,Maori authorities,Counts,260,2020,1 and 2 and 3
Table 2,Count of employees – Maori authorities,By industry group,Non-residential property operators,All New Zealand Businesses,Counts,5300,2020,1 and 3
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,Maori authorities,Counts,1350,2020,1 and 2 and 3
Table 2,Count of employees – Maori authorities,By industry group,Other primary industry,All New Zealand Businesses,Counts,41900,2020,1 and 3
Table 2,Count of employees – Maori authorities,By industry group,Total,Maori authorities,Counts,13000,2020,1 and 2 and 3
Table 2,Count of employees – Maori authorities,By industry group,Total,All New Zealand Businesses,Counts,2317300,2020,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,All New Zealand Businesses,Counts,11844,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,33,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Tourism,Counts,51,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,All New Zealand Businesses,Counts,5124,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,30,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Tourism,Counts,33,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,20934,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,51,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,All other industries,Maori Tourism,Counts,60,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,All New Zealand Businesses,Counts,3030,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Tourism,Counts,69,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,All New Zealand Businesses,Counts,17364,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,All New Zealand Businesses,Counts,5193,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Education and training,Maori Small to Medium Enterprises,Counts,21,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",All New Zealand Businesses,Counts,420,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Electricity, gas, water, and waste services",Maori Small to Medium Enterprises,Counts,6,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,All New Zealand Businesses,Counts,2613,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Financial and insurance services,Maori Small to Medium Enterprises,Counts,6,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,All New Zealand Businesses,Counts,7755,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Health care and social assistance,Maori Small to Medium Enterprises,Counts,36,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,All New Zealand Businesses,Counts,1146,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Information media and telecommunications,Maori Small to Medium Enterprises,Counts,15,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,All New Zealand Businesses,Counts,11070,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Manufacturing,Maori Small to Medium Enterprises,Counts,60,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Mining,All New Zealand Businesses,Counts,246,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Mining,Maori Small to Medium Enterprises,Counts,0,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Other services,All New Zealand Businesses,Counts,11781,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Other services,Maori Small to Medium Enterprises,Counts,27,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",All New Zealand Businesses,Counts,14625,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Professional, scientific, and technical services",Maori Small to Medium Enterprises,Counts,48,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,All New Zealand Businesses,Counts,582,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Public administration and safety,Maori Small to Medium Enterprises,Counts,3,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",All New Zealand Businesses,Counts,5145,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Small to Medium Enterprises,Counts,15,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Rental, hiring, and real estate services",Maori Tourism,Counts,18,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,All New Zealand Businesses,Counts,13671,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Retail trade,Maori Small to Medium Enterprises,Counts,27,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,All New Zealand Businesses,Counts,145314,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Small to Medium Enterprises,Counts,492,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Total,Maori Tourism,Counts,249,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",All New Zealand Businesses,Counts,4689,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Small to Medium Enterprises,Counts,18,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Transport, postal, and warehousing",Maori Tourism,Counts,21,2012,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,All New Zealand Businesses,Counts,8085,2012,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Wholesale trade,Maori Small to Medium Enterprises,Counts,21,2012,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,All New Zealand Businesses,Counts,12039,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Small to Medium Enterprises,Counts,39,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Accommodation and food services,Maori Tourism,Counts,60,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,All New Zealand Businesses,Counts,5202,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Small to Medium Enterprises,Counts,30,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Administrative and support services,Maori Tourism,Counts,30,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",All New Zealand Businesses,Counts,20664,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,"Agriculture, forestry, and fishing",Maori Small to Medium Enterprises,Counts,51,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,All other industries,Maori Tourism,Counts,60,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,All New Zealand Businesses,Counts,3039,2013,1
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Small to Medium Enterprises,Counts,39,2013,1 and 2
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Arts and recreational services,Maori Tourism,Counts,72,2013,1 and 3
Table 3,Counts of businesses – Maori small to medium enterprises and Maori tourism,By industry division,Construction,All New Zealand Businesses,Counts,17832,2013,1
